Time,x_d,y_d,theta_d,delta_d,v_d,delta_d_dot
3.5029191,0.3347924,-0.0665292,-0.4498593,-1.3361532,0.0863724,-0.084644
3.5529608,0.3386661,-0.0684214,-0.4589623,-1.3403854,0.0859329,-0.0836988
3.6030025,0.3425027,-0.0703393,-0.468192,-1.3445703,0.0854925,-0.0827076
3.6530442,0.3463016,-0.0722827,-0.4775506,-1.3487057,0.0850516,-0.0816724
3.7030859,0.3500625,-0.0742516,-0.4870406,-1.3527894,0.0846104,-0.0805949
3.7531276,0.3537849,-0.0762459,-0.4966643,-1.3568191,0.0841691,-0.079477
3.8031693,0.3574685,-0.0782655,-0.5064242,-1.3607929,0.0837281,-0.0783207
3.853211,0.3611128,-0.0803105,-0.5163225,-1.364709,0.0832875,-0.0771277
3.9032527,0.3647174,-0.0823807,-0.5263615,-1.3685654,0.0828478,-0.0759
3.9532944,0.368282,-0.0844761,-0.5365435,-1.3723604,0.0824092,-0.0746394
4.0033361,0.3718061,-0.0865967,-0.5468707,-1.3760923,0.0819719,-0.0733478
4.0533778,0.3752894,-0.0887423,-0.5573453,-1.3797597,0.0815364,-0.0720269
4.1034195,0.3787314,-0.090913,-0.5679693,-1.3833611,0.0811028,-0.0706787
4.1534612,0.3821319,-0.0931087,-0.5787447,-1.386895,0.0806715,-0.0693048
4.2035029,0.3854903,-0.0953292,-0.5896735,-1.3903602,0.0802429,-0.0679071
4.2535446,0.3888065,-0.0975746,-0.6007576,-1.3937556,0.0798172,-0.0664872
4.3035863,0.3920799,-0.0998447,-0.6119988,-1.39708,0.0793948,-0.0650469
4.353628,0.3953103,-0.1021396,-0.6233986,-1.4003323,0.0789761,-0.0635876
4.4036697,0.3984972,-0.1044592,-0.6349586,-1.4035117,0.0785612,-0.0621111
4.4537114,0.4016403,-0.1068033,-0.6466803,-1.4066172,0.0781507,-0.0606188
4.5037531,0.4047394,-0.109172,-0.6585649,-1.4096482,0.0777448,-0.0591122
4.5537948,0.407794,-0.1115651,-0.6706135,-1.4126038,0.0773439,-0.0575927
4.6038365,0.4108038,-0.1139826,-0.6828273,-1.4154834,0.0769483,-0.0560618
4.6538782,0.4137684,-0.1164245,-0.6952068,-1.4182865,0.0765585,-0.0545206
4.7039199,0.4166876,-0.1188906,-0.7077528,-1.4210125,0.0761747,-0.0529705
4.7539616,0.4195611,-0.1213809,-0.7204657,-1.4236611,0.0757973,-0.0514126
4.8040033,0.4223884,-0.1238954,-0.7333457,-1.4262317,0.0754268,-0.0498481
4.854045,0.4251694,-0.1264339,-0.7463929,-1.4287241,0.0750634,-0.0482779
4.9040867,0.4279037,-0.1289964,-0.7596069,-1.431138,0.0747076,-0.046703
4.9541284,0.4305909,-0.1315828,-0.7729873,-1.4334731,0.0743597,-0.0451244
5.0041701,0.4332309,-0.134193,-0.7865333,-1.4357294,0.0740201,-0.0435429
5.0542118,0.4358233,-0.1368271,-0.800244,-1.4379065,0.0736891,-0.0419592
5.1042535,0.4383678,-0.1394848,-0.8141181,-1.4400045,0.0733673,-0.0403741
5.1542952,0.4408641,-0.1421662,-0.8281539,-1.4420232,0.0730548,-0.0387881
5.2043369,0.443312,-0.1448711,-0.8423497,-1.4439626,0.0727522,-0.0372018
5.2543786,0.4457112,-0.1475995,-0.8567031,-1.4458227,0.0724597,-0.0356156
5.3044204,0.4480615,-0.1503513,-0.8712117,-1.4476035,0.0721777,-0.03403
5.3544621,0.4503626,-0.1531265,-0.8858726,-1.449305,0.0719067,-0.0324452
5.4045038,0.4526141,-0.1559249,-0.9006827,-1.4509272,0.0716469,-0.0308616
5.4545455,0.454816,-0.1587465,-0.9156384,-1.4524703,0.0713988,-0.0292793
5.5045872,0.4569679,-0.1615912,-0.9307358,-1.4539343,0.0711626,-0.0276984
5.5546289,0.4590696,-0.1644589,-0.9459708,-1.4553192,0.0709388,-0.0261189
5.6046706,0.4611209,-0.1673495,-0.9613386,-1.4566251,0.0707276,-0.0245408
5.6547123,0.4631215,-0.170263,-0.9768344,-1.4578522,0.0705294,-0.022964
5.704754,0.4650713,-0.1731994,-0.992453,-1.4590004,0.0703445,-0.0213884
5.7547957,0.46697,-0.1761584,-1.0081886,-1.4600698,0.0701733,-0.0198137
5.8048374,0.4688173,-0.17914,-1.0240353,-1.4610605,0.070016,-0.0182396
5.8548791,0.4706132,-0.1821442,-1.0399868,-1.4619724,0.0698729,-0.0166658
5.9049208,0.4723574,-0.1851708,-1.0560365,-1.4628057,0.0697442,-0.0150918
5.9549625,0.4740497,-0.1882198,-1.0721774,-1.4635603,0.0696304,-0.0135172
6.0050042,0.4756899,-0.1912911,-1.0884024,-1.4642362,0.0695316,-0.0119414
6.0550459,0.4772779,-0.1943847,-1.1047039,-1.4648333,0.069448,-0.0103639
6.1050876,0.4788135,-0.1975003,-1.1210742,-1.4653514,0.0693799,-0.008784
6.1551293,0.4802964,-0.200638,-1.1375052,-1.4657906,0.0693275,-0.0072011
6.205171,0.4817266,-0.2037976,-1.1539887,-1.4661507,0.0692909,-0.0056144
6.2552127,0.4831039,-0.2069791,-1.1705163,-1.4664314,0.0692704,-0.0040231
6.3052544,0.4844281,-0.2101824,-1.1870794,-1.4666326,0.0692661,-0.0024266
6.3552961,0.4856991,-0.2134073,-1.2036693,-1.4667539,0.0692781,-0.0008238
6.4053378,0.4869168,-0.2166539,-1.2202771,-1.4667951,0.0693065,0.000786
6.4553795,0.488081,-0.2199219,-1.2368938,-1.4667558,0.0693515,0.0024037
6.5054212,0.4891915,-0.2232114,-1.2535105,-1.4666356,0.0694132,0.0040303
6.5554629,0.4902483,-0.2265223,-1.2701182,-1.4664341,0.0694915,0.0056668
6.6055046,0.4912513,-0.2298543,-1.2867077,-1.4661508,0.0695866,0.007314
6.6555463,0.4922003,-0.2332075,-1.30327,-1.465785,0.0696984,0.0089731
6.705588,0.4930953,-0.2365818,-1.3197964,-1.4653364,0.069827,0.0106449
6.7556297,0.4939361,-0.239977,-1.3362777,-1.4648042,0.0699724,0.0123305
6.8056714,0.4947226,-0.2433931,-1.3527055,-1.4641876,0.0701344,0.014031
6.8557131,0.4954548,-0.24683,-1.3690709,-1.4634861,0.0703132,0.0157474
6.9057548,0.4961325,-0.2502876,-1.3853657,-1.4626987,0.0705085,0.0174806
6.9557965,0.4967558,-0.2537658,-1.4015815,-1.4618247,0.0707203,0.0192317
7.0058382,0.4973245,-0.2572644,-1.4177104,-1.4608631,0.0709485,0.0210018
7.0558799,0.4978386,-0.2607834,-1.4337446,-1.459813,0.071193,0.0227918
